1 The Great Gatsby;F. Scott Fitzgerald
2 To Kill a Mockingbird;Harper Lee
3 1984;George Orwell
4 Pride and Prejudice;Jane Austen
5 The Catcher in the Rye;J.D. Salinger
6 Animal Farm;George Orwell
7 Gone with the Wind;Margaret Mitchell
8 The Lord of the Rings;J.R.R. Tolkien
9 The Hobbit;J.R.R. Tolkien
10 The Da Vinci Code;Dan Brown
11 The Alchemist;Paulo Coelho
12 Harry Potter and the Sorcerer's Stone;J.K. Rowling
13 Harry Potter and the Chamber of Secrets;J.K. Rowling
14 Harry Potter and the Prisoner of Azkaban;J.K. Rowling
15 Harry Potter and the Goblet of Fire;J.K. Rowling
16 Harry Potter and the Order of the Phoenix;J.K. Rowling
17 Harry Potter and the Half-Blood Prince;J.K. Rowling
18 Harry Potter and the Deathly Hallows;J.K. Rowling
19 The Hunger Games;Suzanne Collins
20 Catching Fire;Suzanne Collins
